FP0101,Five Variety Cold Platter,Steamed Sea Bass Soy,Red Bean Soup with Lotus,Hotel Kitchen,PER_TABLE,1280.00,0,0,10,Chinese classic banquet 8 courses
FP0102,Deluxe Cold Platter,Braised Abalone with Mushroom,Sweetened Red Dates Longan,Hotel Kitchen,PER_TABLE,1680.00,0,0,10,Chinese premium banquet 9 courses
FP0103,Kerabu Mango Salad,Daging Rendang Tok,Kuih Muih Assortment,Hotel Kitchen,PER_PERSON,110.00,100,0,0,Malay heritage set buffet style
FP0104,Ulam Ulaman with Sambal,Ayam Percik and Ikan Bakar,Sago Gula Melaka,Hotel Kitchen,PER_PERSON,140.00,120,0,0,Malay signature premium set
FP0105,Caesar Salad,Chicken Roulade,Chocolate Lava Cake,Hotel Kitchen,PER_PERSON,125.00,80,0,0,Western classic plated 3 course
FP0106,Smoked Salmon Rose,Beef Tenderloin,Tiramisu,Hotel Kitchen,PER_PERSON,160.00,100,0,0,Western premium plated 4 course
FP0107,Chaat Platter,Butter Chicken and Lamb Rogan Josh,Gulab Jamun,Hotel Kitchen,PER_PERSON,135.00,100,0,0,Indian royal feast buffet style
FP0108,Roasted Pumpkin Salad,Mushroom Wellington,Lemon Posset,Hotel Kitchen,PER_PERSON,100.00,80,0,0,Vegetarian banquet plated mix
FP0109,Sushi and Antipasti,Mixed Grill and Pasta Station,Dessert Bar Assortment,Hotel Kitchen,FLAT,15000.00,0,0,0,International buffet flat fee
FP0110,Vegetarian Cold Platter,Braised Monkey Head Mushroom,Snow Fungus Sweet Soup,Hotel Kitchen,PER_TABLE,1180.00,0,0,8,Chinese vegetarian banquet 8 courses
